title,author,first_name,last_name,genre,series,description,publish_date,publisher,ean_isbn,upc_isbn,pages,ddc,cover_style,sprayed_edges,special_ed,first_ed,signed,location
Belladonna,Adalyn Grace,Adalyn,Grace,Fantasy / Romance / YA,"Belladonna, Book 1","The  New York Times  bestselling author of  All the Stars and Teeth  brings to life a highly romantic, Gothic-infused world of wealth, desire, and betrayal. ​
Orphaned as a baby, nineteen-year-old Signa has been raised by a string of guardians, each one more interested in her wealth than her well-being—and each has met an untimely end. Her remaining relatives are the elusive Hawthornes, an eccentric family living at Thorn Grove, an estate both glittering and gloomy. Its patriarch mourns his late wife through wild parties, while his son grapples for control of the family’s waning reputation, and his daughter suffers from a mysterious illness. But when their mother’s restless spirit appears claiming she was poisoned, Signa realizes that the family she depends on could be in grave danger and enlists the help of a surly stable boy to hunt down the killer.
However, Signa’s best chance of uncovering the murderer is an alliance with Death himself, a fascinating, dangerous shadow who has never been far from her side. Though he’s made her life a living hell, Death shows Signa that their growing connection may be more powerful—and more irresistible—than she ever dared imagine.",2023-01-01,"Little, Brown and Company",9780316570916,316570915,409,FIC GRA,paperback,1,1,1,1,
Foxglove,Adalyn Grace,Adalyn,Grace,Fantasy /Romance / YA,"Belladonna, Book 2","This Barnes & Noble Exclusive Edition features an alternate jacket and a unique hardcover case and endpaper design, and includes a deleted chapter from Death's point-of-view.
The captivating sequel to the Gothic-infused Belladonna, in which Signa and Death face a supernatural foe determined to tear them apart.
A duke has been murdered. The lord of Thorn Grove has been framed. And Fate, the elusive brother of Death, has taken up residence in a sumptuous estate nearby. He's hellbent on revenge after Death took the life of the woman he loved many years ago...and now he's determined to have Signa for himself, no matter the cost.
Signa and her cousin Blythe are certain that Fate can save Elijah Hawthorne from prison if they will entertain his presence. But the more time the girls spend with Fate, the more frightening their reality becomes as Signa exhibits dramatic new powers that link her to Fate's past. With mysteries and danger around every corner, the cousins must decide if they can trust one another as they navigate their futures in high society, unravel the murders that haunt their family, and play Fate's unexpected games—all with their destinies hanging in the balance.
Dangerous, suspenseful, and seductive, this sequel to Signa and Death's story is as utterly romantic as it is perfectly deadly.",2023-08-22,"Little, Brown and Company",9780316565257,316565253,465,FIC GRA,hardcover,1,1,0,1,
All the Stars and Teeth,Adalyn Grace,Adalyn,Grace,Fantasy / YA,"All the Stars and Teeth, Book 1","Set in a kingdom where danger lurks beneath the sea, mermaids seek vengeance with song, and magic is a choice.
She will reign.
As princess of the island kingdom Visidia, Amora Montara has spent her entire life training to be High Animancer — the master of souls. The rest of the realm can choose their magic, but for Amora, it’s never been a choice. To secure her place as heir to the throne, she must prove her mastery of the monarchy’s dangerous soul magic.
When her demonstration goes awry, Amora is forced to flee. She strikes a deal with Bastian, a mysterious pirate: he’ll help her prove she’s fit to rule, if she’ll help him reclaim his stolen magic.
But sailing the kingdom holds more wonder — and more peril — than Amora anticipated. A destructive new magic is on the rise, and if Amora is to conquer it, she’ll need to face legendary monsters, cross paths with vengeful mermaids, and deal with a stow-away she never expected… or risk the fate of Visidia and lose the crown forever.
I am the right choice. The only choice. And I will protect my kingdom.",2020-02-04,Owlcrate,9781250766281,1250766281,373,FIC GRA,hardcover,0,1,1,1,
Wisteria,Adalyn Grace,Adalyn,Grace,,"Belladonna, Book 3",,,,,,,,hardcover,0,1,1,1,
Tinker Bell's Tea Party (Disney Fairies),"Disney Book Group, Lara Bergen",Disney,Group,,,"&nbsp;No one throws a better tea party than the fairies of Pixie Hollow! &nbsp;Join Tinker Bell and her friends as they set about preparing for the perfect fairy tea party.&nbsp;All of Pixie Hollow&nbsp;pitches in: from the garden-talent fairies to the baking-talent fairies, every talent group has lots to do to make this the best tea party the fairies have ever had!&nbsp;This charming picture book, with its delightful illustrations and sweet story,&nbsp;offers readers a glimpse into the intricacies and whimsy of fairy life--and includes plenty of tips from the fairies for planning your&nbsp;very own fairy tea party!",2008-07-29,Disney Press,9781423109495,142310949X,48,,hardcover,0,0,1,0,
The Disney Princess Cookbook,Disney Book Group,Disney,Group,,,"From Rapunzel&#039;s Frying Pan Eggs to Ariel&#039;s Sea Turtle Cupcakes, this beautiful cookbook is filled with delicious recipes inspired by the Princesses&#039; many adventures. With simple step-by-step instructions, mouth-watering photos of each dish, and helpful tips from the Princesses themselves, this cookbook makes it easy to whip up some kitchen magic.",2013-10-01,Disney Press,9781423163244,1423163249,144,,hardcover,0,0,1,0,
The Art of Pan,Christopher Grove,Christopher,Grove,,,"This beautifully illustrated book will grant a comprehensive inside tour of director Joe Wright’s Pan, which offers a unique new cinematic take on J. M. Barrie’s beloved Peter Pan. Featuring a dazzling selection of never-before-seen concept illustrations, sketches, storyboards, and other preproduction materials, The Art of Pan reveals how Wright and his artistic teams have reimagined the classic characters and world. Insightful interviews with the director and key members of the cast and crew, including—Hugh Jackman, Amanda Seyfried, Rooney Mara, and Garrett Hedlund—make this book a must-have for anyone who has ever longed to revisit Neverland with Peter Pan as their guide.",2015-09-08,Insight Editions,9781608876686,1608876683,160,,hardcover,0,1,1,0,
The Hurricane Wars,Thea Guanzon,Thea,Guanzon,Fantasy / Romance,"The Hurrican Wars, Book 1","The heart is a battlefield.
All Talasyn has ever known is the Hurricane Wars. Growing up an orphan in a nation under siege by the ruthless Night Emperor, Talasyn has found her family among the soldiers who fight for freedom. But she is hiding a deadly secret: light magic courses through her veins, a blazing power believed to have been wiped out years ago that can cut through the Night Empire's shadows.
Prince Alaric, the emperor's only son and heir, has been forged into a weapon by his father. Tasked with obliterating any threats to the Night Empire's rule with the strength of his armies and mighty Shadow magic, Alaric has never been bested. That is until he sees Talasyn burning brightly on the battlefield with the magic that killed his grandfather, turned his father into a monster, and ignited the Hurricane Wars. In a clash of light and dark, their powers merge and create a force the likes of which has never been seen.
Talasyn and Alaric both know this war can only end with them. But a greater threat is coming, and the strange new magic they can create together could be the only way to overcome it. Thrust into an uneasy alliance, they will confront the secrets at the heart of the war and find, in each other, a searing passion--one that could save their world...or destroy it.
An exquisite fantasy brimming with unforgettable characters, sizzling enemies-to-lovers romance, and richly drawn worlds, The Hurricane Wars marks the breathtaking debut of an extraordinary new writer.",2023-10-12,HarperCollins Publishers,9780008555832,8555834,480,FIC GUA,hardcover,1,1,1,1,
My Heart Is Like a Zoo,Michael Hall,Michael,Hall,,,"A heart can be hopeful, or silly, or happy. A heart can be rugged, or snappy, or lonely. A heart holds every different feeling, and debut author-artist Michael Hall captures each one with a delicate touch. For each feeling, the bold, graphic artwork creates an animal out of heart shapes, from &quot;eager as a beaver&quot; to &quot;angry as a bear&quot; to &quot;thoughtful as an owl.&quot; An accessible and beautiful debut, My Heart Is Like a Zoo is everything a classic picture book should be: honest, sincere, and speaking directly to even the very youngest child. Ages: 0 - 5",2009-12-22,Greenwillow Books,9780061915109,61915106,32,,hardcover,0,0,0,0,
We Are Pirates: A Novel,Daniel Handler,Daniel,Handler,Fiction / History,n/a,"A boat has gone missing. Goods have been stolen. There is blood in the water. It is the twenty-first century and a crew of pirates is terrorizing the San Francisco Bay.Phil is a husband, a father, a struggling radio producer, and the owner of a large condo with a view of the water. But he&#039;d like to be a rebel and a fortune hunter.Gwen is his daughter. She&#039;s fourteen. She&#039;s a student, a swimmer, and a best friend. But she&#039;d like to be an adventurer and an outlaw.Phil teams up with his young, attractive assistant. They head for the open road, attending a conference to seal a deal.Gwen teams up with a new, fierce friend and some restless souls. They head for the open sea, stealing a boat to hunt for treasure.We Are Pirates is a novel about our desperate searches for happiness and freedom, about our wild journeys beyond the boundaries of our ordinary lives. Also, it&#039;s about a teenage girl who pulls together a ragtag crew to commit mayhem in the San Francisco Bay, while her hapless father tries to get her home.",2015-02-03,Bloomsbury USA,9781608196883,1608196887,288,FIC HAN,hardcover,0,0,1,1,
Loathe to Love You,Ali Hazelwood,Ali,Hazelwood,,n/a?,,,,,,,,paperback,0,0,1,0,
Love on the Brain,Ali Hazelwood,Ali,Hazelwood,,n/a?,,,,,,,,paperback,0,0,1,0,
"Love, Theoretically",Ali Hazelwood,Ali,Hazelwood,,n/a?,,,,,,,,paperback,0,0,1,0,
Bonded by Thorns,Elizabeth Helen,Elizabeth,Helen,Fantasy / Romance,"Beasts of the Briar, Book 1","Four beastly princes. One awkward bookworm. An enchanted world of fae, magic, and danger.
I’ve always loved fairytales. I never imagined I'd actually be in one.
When my father wanders into the enchanted realm of the fae, I know I have to go after him. And when he gets imprisoned, I'll do anything to save him... Even trade my freedom for his. I had no idea I'd end up imprisoned by four sexy fae who turn into beasts at night.
I have to win my freedom, and that means making a bargain with them. They must find their mates in order to break the curse. If I can help them do that, they'll set me free. Sounds simple, right?
It's not. Because against my better judgment, I'm starting to fall for these beastly princes. One is smart and sweet, the other mysterious and deadly, another flirty and confident, and the last prince... He's handsome, strong, has a wicked temper, and is dead-set against breaking the curse. Why does he want to keep me here forever?
But it's not just my freedom on the line. If I don't break the princes' curse soon, all the magic in the Enchanted Vale will be stolen by the evil—and stupidly hot—Prince of Thorns. And I'm not letting my princes stay cursed.
Not after I've fallen in love with them.
BONDED BY THORNS is a steamy adult Beauty and the Beast retelling set in a fantasy fae realm. In this version, our beautiful bookworm doesn't have to choose between the four sexy fae princes. It is a full-length novel that ends on a cliffhanger. It includes MF and MM content. It is intended for mature readers only.
Not after I've fallen in love with them.
BONDED BY THORNS is a steamy adult Beauty and the Beast retelling set in a fantasy fae realm. In this version, our beautiful bookworm doesn't have to choose between the four sexy fae princes. It is a full-length novel that ends on a cliffhanger. It includes MF and MM content. It is intended for mature readers only.",2023-02-07,Luna Fox Press,9781738827916,1738827917,344,FIC HEL,paperback,0,0,1,1,
Star Wars: Fascinating Facts,Pablo Hidalgo,Pablo,Hidalgo,Science Fiction / Cinema,n/a,"An insider’s guide to little-known facts from all nine films of the Skywalker Saga.
Star Wars: Fascinating Facts is a compendium of hundreds of little-known facts about all nine episodes in the Skywalker Saga—from behind-the-scenes on-set tidbits to stories about how the tale of Star Wars was created. Profiles of important characters and early drafts of scripts show what might have been, details of how famous scenes were filmed, and other firsthand accounts from cast and crew members.",2020-10-13,Portable Press,9781684128952,1684128951,208,791.4375,hardcover,0,0,0,0,
Living Vegetarian For Dummies,Suzanne Havala Hobbs,Suzanne,Hobbs,,,"Practical ways to explore and adapt a vegetarian lifestyleAre you considering a vegetarian diet for yourself or your family? Wondering if it&#039;s safe and how you&#039;ll get the right amount of nutrients? This authoritative guide has all the answers you need about living vegetarian, featuring healthful advice as well as delicious dishes involving vegetables, fruits, grains, and dairy.Inside you&#039;ll find expert advice on adopting a vegetarian lifestyle, from creating a vegetarian shopping list and understanding the nutritional aspects of vegetarian eating, to using the right cooking supplies to vegetarian etiquette, eating out, and converting a kitchen-and your family&#039;s mindset-away from meat. You&#039;ll discover how to make it work when you&#039;re the only member of the house who is vegetarian, as well as how to support a family member, including a child.Provides the latest information on vegetarian diets as they relate to health, the environment, and other areas of our livesIncludes tips for gradually reducing your meat intakeExplains the benefits of a vegetarian lifestyleOffers dozens of new recipes designed to ease the transition from omnivore to vegetarianWhether you&#039;re a long-time vegetarian or just starting out, Living Vegetarian For Dummies, 2nd Edition is your guide to evaluating and enjoying a meat-free lifestyle.",2009-12-02,"Wiley Publishing, Inc.",9780470523025,470523026,384,,paperback,0,0,1,0,
City of Masks (Stravaganza),Mary Hoffman,Mary,Hoffman,,,"&#039;&quot;City of Masks&quot; is a poignant, touching and exciting novel, difficult to put down. This is one of the best time-slip stories that I have read in recent years. Without doubt a masterwork of contemporary children&#039;s literature.&#039; - Edgardo Zaghini, Children&#039;s Literature Officer/Booktrust. This is a fantastic first novel in a potential trilogy. This is the sequel: &quot;City of Stars&quot;. This is quite simply the most romantic, thrilling book of the year. Set in a parallel world, in an Italy that in this world is called Talia and in a Venice that in this world is called Bellezza, the narrative follows Lucien, who in this world is ill with cancer. Given a marbled notebook to help him communicate when his throat hurts too much to speak, this notebook is the means that transports Lucien to this magical, dangerous new world. This is a world which is set in the C16, and thrills to the delight of political intrigue, including assassination attempts both foiled and successful. The parallel Venice is astonishingly evoked, with the silks and velvets, the sensuousness of the food and the elegance of the city and its waterways all beautifully and powerfully described. The world of Talia is unforgettably and convincingly real. Follow Lucien as he finds out that he is in fact a Stravagante - a powerful magician who can travel in space and time - and as he becomes inextricably linked with the lives and fates of the people in Bellezza.",2002-09-02,Bloomsbury Publishing PLC,9780747560937,747560935,336,,paperback,0,0,1,0,
The Seals on the Bus (An Owlet Book),Lenny Hort,Lenny,Hort,,,"An animal-filled version of the classic children&#039;s song &quot;The Wheels on the Bus&quot;&quot;The seals on the bus go &quot;errp, errp, errp&quot;All through the town.&quot;Two children and their parents board a city bus on their way to a party. At the next stop, who should get on but a group of seals, who holler &quot;errp, errp, errp&quot; at the top of their lungs. Each time the bus stops a new kind of animal joins the passengers and adds to the din, to the children&#039;s delight and the parents&#039; annoyance. But when several hissing skunks want to come aboard, even the children cry &quot;help! help! help!&quot;This hilarious new version of the beloved children&#039;s song &quot;The Wheels on the Bus&quot; will have young readers errping and roaring and honking along.",2003-08-01,Square Fish,9780805072631,805072632,32,,paperback,0,0,0,0,
Splintered,A. G. Howard,A.,Howard,,,"This stunning debut captures the grotesque madness of a mystical under-land, as well as a girl&rsquo;s pangs of first love and independence. Alyssa Gardner hears the whispers of bugs and flowersprecisely the affliction that landed her mother in a mental hospital years before. This family curse stretches back to her ancestor Alice Liddell, the real-life inspiration for Lewis Carroll&rsquo;s Alice&rsquo;s Adventures in Wonderland. Alyssa might be crazy, but she manages to keep it together. For now.  When her mother&rsquo;s mental health takes a turn for the worse, Alyssa learns that what she thought was fiction is based in terrifying reality. The real Wonderland is a place far darker and more twisted than Lewis Carroll ever let on. There, Alyssa must pass a series of tests, including draining an ocean of Alice&rsquo;s tears, waking the slumbering tea party, and subduing a vicious bandersnatch, to fix Alice&rsquo;s mistakes and save her family. She must also decide whom to trust: Jeb, her gorgeous best friend and secret crush, or the sexy but suspicious Morpheus, her guide through Wonderland, who may have dark motives of his own.  Praise for Splintered:  STARRED REVIEW  &quot;Fans of dark fantasy, as well as of Carroll&rsquo;s Alice in all her revisionings (especially Tim Burton&rsquo;s), will find a lot to love in this compelling and imaginative novel.&quot;  Bulletin of the Center for Children&#039;s Books  &quot;Alyssa is one of the most unique protagonists I&#039;ve come across in a while. Splintered is dark, twisted, entirely riveting, and a truly romantic tale.&quot;  USA Today  &quot;Brilliant, because it is ambitious, inventive, and often surprising  a contemporary reworking of Lewis Carroll&rsquo;s Alice&rsquo;s Adventures in Wonderland,&rsquo;&rsquo; with a deep bow toward Tim Burton&rsquo;s 2010 film version.&quot;  The Boston Globe  &quot;It&rsquo;s a deft, complex metamorphosis of this children&rsquo;s fantasy made more enticing by competing romantic interests, a psychedelic setting, and more mad violence than its original.&quot;  Booklist  &quot; Protagonist Alyssa...is an original. Howard&#039;s visual imagination is superior. The story&#039;s creepiness is intriguing as horror, and its hypnotic tone and setting, at the intersection of madness and creativity, should sweep readers down the rabbit hole.&quot;  Publishers Weekly  &quot;While readers will delight in such recognizable scenes as Alyssa drinking from a bottle to shrink, the richly detailed scenes that stray from the original will entice the imagination. These adventures are indeed wonderful.&quot;  BookPage  &quot;Attention to costume and setting render this a visually rich read...&quot;  Kirkus Reviews  &quot;Wonderland is filled with much that is not as wonderful as might be expected, and yet, it is in Wonderland that Alyssa accepts her true nature. The cover with its swirling tendrils and insects surrounding Alyssa will surely attract teen readers who will not disappointed with this magical, edgy tale.&quot;  Reading Today Online  &nbsp;",2013-01-01,Amulet Books,9781419704284,1419704281,384,,hardcover,0,0,0,1,
Splintered,A. G. Howard,A.,Howard,,,"This stunning debut captures the grotesque madness of a mystical under-land, as well as a girl&rsquo;s pangs of first love and independence. Alyssa Gardner hears the whispers of bugs and flowersprecisely the affliction that landed her mother in a mental hospital years before. This family curse stretches back to her ancestor Alice Liddell, the real-life inspiration for Lewis Carroll&rsquo;s Alice&rsquo;s Adventures in Wonderland. Alyssa might be crazy, but she manages to keep it together. For now.  When her mother&rsquo;s mental health takes a turn for the worse, Alyssa learns that what she thought was fiction is based in terrifying reality. The real Wonderland is a place far darker and more twisted than Lewis Carroll ever let on. There, Alyssa must pass a series of tests, including draining an ocean of Alice&rsquo;s tears, waking the slumbering tea party, and subduing a vicious bandersnatch, to fix Alice&rsquo;s mistakes and save her family. She must also decide whom to trust: Jeb, her gorgeous best friend and secret crush, or the sexy but suspicious Morpheus, her guide through Wonderland, who may have dark motives of his own.  Praise for Splintered:  STARRED REVIEW  &quot;Fans of dark fantasy, as well as of Carroll&rsquo;s Alice in all her revisionings (especially Tim Burton&rsquo;s), will find a lot to love in this compelling and imaginative novel.&quot;  Bulletin of the Center for Children&#039;s Books  &quot;Alyssa is one of the most unique protagonists I&#039;ve come across in a while. Splintered is dark, twisted, entirely riveting, and a truly romantic tale.&quot;  USA Today  &quot;Brilliant, because it is ambitious, inventive, and often surprising  a contemporary reworking of Lewis Carroll&rsquo;s Alice&rsquo;s Adventures in Wonderland,&rsquo;&rsquo; with a deep bow toward Tim Burton&rsquo;s 2010 film version.&quot;  The Boston Globe  &quot;It&rsquo;s a deft, complex metamorphosis of this children&rsquo;s fantasy made more enticing by competing romantic interests, a psychedelic setting, and more mad violence than its original.&quot;  Booklist  &quot; Protagonist Alyssa...is an original. Howard&#039;s visual imagination is superior. The story&#039;s creepiness is intriguing as horror, and its hypnotic tone and setting, at the intersection of madness and creativity, should sweep readers down the rabbit hole.&quot;  Publishers Weekly  &quot;While readers will delight in such recognizable scenes as Alyssa drinking from a bottle to shrink, the richly detailed scenes that stray from the original will entice the imagination. These adventures are indeed wonderful.&quot;  BookPage  &quot;Attention to costume and setting render this a visually rich read...&quot;  Kirkus Reviews  &quot;Wonderland is filled with much that is not as wonderful as might be expected, and yet, it is in Wonderland that Alyssa accepts her true nature. The cover with its swirling tendrils and insects surrounding Alyssa will surely attract teen readers who will not disappointed with this magical, edgy tale.&quot;  Reading Today Online  &nbsp;",2013-01-01,Amulet Books,9781419704284,1419704281,384,,hardcover,0,0,1,1,
Unhinged: Splintered Book Two,A. G. Howard,A.,Howard,,,"&nbsp; Alyssa Gardner has been down the rabbit hole. She was crowned Queen of the Red Court and faced the bandersnatch. She saved the life of Jeb, the boy she loves, and escaped the machinations of the disturbingly appealing Morpheus. Now all she has to do is graduate high school. That would be easier without her mother, freshly released from an asylum, acting overly protective and suspicious. And it would be much simpler if the mysterious Morpheus didn&rsquo;t show up for school one day to tempt her with another dangerous quest in the dark, challenging Wonderlandwhere she (partly) belongs. Could she leave Jeb and her parents behind again, for the sake of a man she knows has manipulated her before? Will her mother and Jeb trust her to do what&rsquo;s right? Readers will swoon over the satisfying return to Howard&rsquo;s bold, sensual reimagining of Carroll&rsquo;s classic. Praise for Unhinged &quot;I really enjoyed the first book of this series, but&nbsp;Unhinged&nbsp;cranks the Wonderland experience up to 11. It&#039;s just ... WOW! The last few scenes dangle Alyssa&#039;s next adventure with shockers enough that I found my jaw needing a bit of assistance in coming off the floor. Write quickly, A.G. Howard! I need that next book!&quot; --USA Today &quot;Howard excels in sensory and sensuous descriptions.&quot; --Kirkus Reviews&nbsp; &quot;As intense, dark, and weird as the first volume, this worthy sequel creates a parallel narrative that brings the action out of Wonderland and into Alyssa&rsquo;s hometown.&quot; --The Bulletin of The Center for Children&rsquo;s Books &quot;A dark beauty fills the novel&#039;s pages, which will mesmerize teens with a taste for magic, romance or suspense. Unhinged lays the groundwork for a third book where anything could happen--it is Wonderland, after all.&quot; --Shelf Awareness",2014-01-07,Harry N. Abrams,9781419709715,1419709712,400,,hardcover,0,0,1,0,
Ensnared: Splintered Book Three,A. G. Howard,A.,Howard,,,"After surviving a disastrous battle at prom, Alyssa has embraced her madness and gained perspective. She&rsquo;s determined to rescue her two worlds and the people and netherlings she loves. Even if it means challenging Queen Red to a final battle of wills and wiles . . . and even if the only way to Wonderland, now that the rabbit hole is closed, is through the looking-glass world&mdash;a parallel dimension filled with mutated and violent netherling outcasts.In the final installment of the wildly popular Splintered trilogy, Alyssa and her dad journey into the heart of magic and mayhem in search of her mom and to set right all that&rsquo;s gone wrong. Together with Jeb and Morpheus, they must salvage Wonderland from the decay and destruction that has ensnared it. But if they succeed and come out alive, can everyone truly have their happily ever after?",2015-01-06,Amulet Books,9781419712296,1419712292,384,,hardcover,0,0,1,0,
Rapunzel and the Lost Lagoon,Leila Howland,Leila,Howland,,,"Rapunzel is not your typical princess. For one thing, she has returned to her kingdom after eighteen years spent trapped in a tower and she's still getting to know her parents. For another, she has to get used to royal customs, like the proper ways to sit and curtsy, when she'd really rather climb a tree and paint. Plus, she hates wearing shoes. Cassandra is not your typical lady-in-waiting. As the daughter of the captain of the guard, she has grown up fascinated by security and weaponry. It has been her life's goal to become a soldier in the guard, and princess-sitting doesn't really fit into her plan-especially when that princess's aggravating boyfriend is always hanging around. But when Rapunzel and Cassandra stumble upon a secret lagoon said to hold the key to the kingdom's greatest power, it will be up to them to solve the mystery before someone more sinister does. Follow this tale of adventure and intrigue, love and destiny, and, most important, friendship.",2017-09-05,Disney Press,9781484787236,1484787234,288,,hardcover,0,0,1,0,
Unofficial Harry Potter Baking Book,Katja Bohm,Katja,Bohm,,,,2022-09-01,Moseley Road Incorporated,9781626691995,1626691991,,,hardcover,0,0,1,0,
Fate Inked in Blood,Danielle L Jensen,Danielle,Jensen,Fantasy / Romance / Mythology,"Saga of the Unfated, Book 1","A shield maiden blessed by the gods battles to unite a nation under a power-hungry king—while fighting her growing desire for his fiery son—in the first book of a Norse-inspired fantasy romance series from the bestselling author of The Bridge Kingdom series. The stunning first edition hardcover of A Fate Inked in Blood will feature foil page edges, a custom-stamped case, and a premium dust jacket! Bound in an unwanted marriage, Freya spends her days gutting fish but dreams of becoming a warrior. And of putting an axe in her boorish husband’s back. Freya’s dreams abruptly become reality when her husband betrays her to the region’s jarl, landing her in a fight to the death against his son, Bjorn. To survive, Freya is forced to reveal her deepest secret: She possesses a drop of a goddess’s blood, which makes her a shield maiden with magic capable of repelling any attack. And it’s been foretold that such magic will unite the fractured nation of Skaland beneath the one who controls the shield maiden’s fate. Believing he’s destined to rule Skaland as king, the fanatical jarl binds Freya with a blood oath and orders Bjorn to protect her from their enemies. Desperate to prove her strength, Freya must train to fight and learn to control her magic, all while facing perilous tests set by the gods. The greatest test of all, however, may be resisting her forbidden attraction to Bjorn. If Freya succumbs to her lust for the charming and fierce warrior, she risks not only her own destiny but the fate of all the people she has sworn to protect.",2024-02-27,Del Rey Books,9780593599839,593599837,432,FIC JEN,hardcover,1,0,1,0,
Beast: A Tale of Love and Revenge,Lisa Jensen,Lisa,Jensen,,,"Filled with magic and fierce emotion, Lisa Jensen's multilayered novel will make you question all you think you know about beauty, beastliness, and happily ever after.They say Château Beaumont is cursed. But servant-girl Lucie can’t believe such foolishness about handsome Jean-Loup Christian Henri LeNoir, Chevalier de Beaumont, master of the estate. But when the chevalier's cruelty is revealed, Lucie vows to see him suffer. A wisewoman grants her wish, with a spell that transforms Jean-Loup into monstrous-looking Beast, reflecting the monster he is inside. But Beast is nothing like the chevalier. Jean-Loup would never patiently tend his roses; Jean-Loup would never attempt poetry; Jean-Loup would never express remorse for the wrong done to Lucie. Gradually, Lucie realizes that Beast is an entirely different creature from the handsome chevalier, with a heart more human than Jean-Loup’s ever was. Lucie dares to hope that noble Beast has permanently replaced the cruel Jean-Loup — until an innocent beauty arrives at Beast’s château with the power to break the spell.",2018-07-10,Candlewick,9780763688806,763688800,352,,hardcover,0,0,0,0,
The Potterhead Cookbook,James Keller,James,Keller,,,"Step into the Wizarding World of Harry Potter with The Potterhead Cookbook! With this cookbook, dining at Hogwarts is as easy as the wave of a wand. With 25 exciting recipes, you can easily whip up spellbindingly delicious dishes inspired by your favorite Harry Potter stories, such as: - Homemade Pumpkin Pasties - Classic Butterbeer - Kreacher's French Onion Soup - Almond and Peach Treacle Tart - Exploding Bonbons - Bangers and Mash ...and many more! With a sprinkle of magic and a dash of imagination, this cookbook will help you conjure up the desserts, entrees, drinks and snacks you need to bring the Wizarding World of Harry Potter right into your kitchen! Grab The Potterhead Cookbook and start casting your culinary spells today!",2019-04-19,Independently Published,9781095272718,1095272713,98,,paperback,0,0,1,0,
Destroy the Day,Brigid Kemmerer,Brigid,Kemmerer,Fantasy / Romance / YA,"Defy the Night, Book 3","Left for dead, but desperate to survive . . . they have one last chance to save their kingdom.
Prince Corrick is out of options. Held captive by the vicious Oren Crane, he’s desperate to reunite with Tessa, but will need to ally with the rebel leader Lochlan, who until now wished him dead. An unlikely but deadly pair, Corrick and Lochlan must plot their next moves carefully.
An island away, Tessa Cade is heartbroken and angry. Grieving Corrick, and unsure how to find a way back to Kandala, she doesn’t know who to trust. Until Rian—the man she trusts least—makes an offer: aid in a plot to finally oust Oren Crane and see what the future holds . . .
Meanwhile in Kandala, Harristan is dethroned and on the run. He’s struggling to unite the rebels in his fractured kingdom, but he finds support—and maybe more—in unexpected places.
Can Harristan be the king his people need? Can Corrick and Tessa find their way back to each other? As outside threats loom and the fires of revolution burn from within, time is running out to save their kingdom.
In the thrilling conclusion to the Defy the Night series, Brigid Kemmerer crafts heartrending twists and devastating turns that will keep readers breathless to the very end.",2024-01-23,Bloomsbury YA,9781547613236,1547613238,448,FIC KEM,hardcover,0,0,1,1,
Forging Silver into Stars,Brigid Kemmerer,Brigid,Kemmerer,,"Forging Silver into Stars, Book 1",,,,,,,,hardcover,1,1,1,1,
A Sorceress Comes to Call,T. Kingfisher,T.,Kingfisher,,,,,,,,,,hardcover,1,1,1,1,
The House in the Cerulean Sea,T. J. Klune,T.,Klune,Fantasy / Romance / Queer,"Cerulean Chronicles, Book 1","A magical island. A dangerous task. A burning secret.
Linus Baker leads a quiet, solitary life. At forty, he lives in a tiny house with a devious cat and his old records. As a Case Worker at the Department in Charge Of Magical Youth, he spends his days overseeing the well-being of children in government-sanctioned orphanages.
When Linus is unexpectedly summoned by Extremely Upper Management he's given a curious and highly classified assignment: travel to Marsyas Island Orphanage, where six dangerous children reside: a gnome, a sprite, a wyvern, an unidentifiable green blob, a were-Pomeranian, and the Antichrist. Linus must set aside his fears and determine whether or not they’re likely to bring about the end of days.
But the children aren’t the only secret the island keeps. Their caretaker is the charming and enigmatic Arthur Parnassus, who will do anything to keep his wards safe. As Arthur and Linus grow closer, long-held secrets are exposed, and Linus must make a choice: destroy a home or watch the world burn.
An enchanting story, masterfully told, The House in the Cerulean Sea is about the profound experience of discovering an unlikely family in an unexpected place—and realizing that family is yours.",2020-12-29,Tor,9781250217318,1250217318,400,FIC KLU,paperback,0,0,0,0,
The History of Pirates,"Angus Konstam, Lyons Press Staff",Angus,Konstam,,,A wonderful chronicle of thievery murder and torture on the high seas all in a beautiful oversized book,1999-01-01,"Globe Pequot Press, The",9781558219694,1558219692,196,,hardcover,0,0,0,0,
A Deal with the Elf King,Elise Kova,Elise,Kova,,"Married to Magic, Book 1",,,,,,,,hardcover,1,1,1,1,
A Dance with the Fae Prince,Elise Kova,Elise,Kova,,"Married to Magic, Book 2",,,,,,,,hardcover,1,1,1,1,
There Was a Tall Texan Who Swallowed a Flea,Susan Kralovansky,Susan,Kralovansky,,,"How much can a tall Texan eat? In this humorous retelling of the classic tale, a tall Texan devours a toad, a rattlesnake, a bat, a bull, and more to get rid of the flea he accidentally ate. The Texan gets bigger and bigger as he eats more and more-all to get rid of a silly old flea! Whoo-ee!",2013-02-27,Pelican Publishing,9781455617173,1455617172,32,,hardcover,0,0,1,1,
